53 1024
29 7 85
3 35 96
28 12 61
31 48 7
17 9 36
23 51 17
19 6 50
40 26 81
35 2 61
39 14 73
23 24 9
6 44 70
42 48 89
40 31 25
45 1 28
18 31 31
12 19 60
48 5 49
32 20 38
27 26 65
48 17 51
12 19 69
40 23 39
8 43 85
38 7 21
18 2 62
14 4 90
14 4 81
17 53 84
36 39 60
42 21 80
12 43 17
23 15 54
29 48 82
42 1 31
30 28 47
40 25 57
49 43 60
23 26 81
53 24 57
47 34 9
20 10 11
45 46 71
47 37 14
40 45 71
33 28 44
23 11 65
50 47 7
51 21 13
7 26 23
53 9 59
8 53 36
53 1 64
7 27 6
37 46 30
26 50 31
25 10 98
48 28 46
11 19 77
6 15 16
32 30 74
11 2 15
44 5 61
1 33 20
50 26 87
21 40 63
27 3 85
19 21 29
13 23 2
2 43 85
20 29 38
49 3 10
3 12 66
16 38 76
39 45 24
43 50 7
37 39 94
23 20 2
14 21 21
30 48 47
13 10 59
30 5 76
46 27 3
13 21 96
39 24 68
5 13 68
24 8 5
29 4 6
22 5 77
5 22 55
40 15 34
5 13 86
40 49 45
27 4 31
44 12 59
44 20 72
15 30 83
11 18 41
11 7 89
17 41 82
12 50 28
21 29 49
11 35 35
46 32 99
37 16 100
26 31 12
7 30 33
42 41 48
13 6 57
35 32 33
24 46 9
17 37 75
32 46 13
3 12 52
49 33 18
2 35 76
42 51 98
15 5 31
12 45 62
19 22 25
20 39 46
18 34 40
5 31 4
33 5 51
50 23 49
4 25 61
37 52 49
41 3 24
21 44 24
7 10 69
15 11 38
5 25 37
18 48 60
40 18 62
6 41 13
47 18 85
32 42 2
34 19 39
15 35 22
42 21 47
10 48 97
19 27 72
42 6 95
2 3 3
12 25 97
23 26 30
48 26 84
47 13 24
29 5 87
50 30 47
8 35 93
13 41 28
32 27 4
39 50 83
5 32 44
6 9 29
53 28 3
28 4 28
49 4 44
23 48 81
26 25 76
29 21 67
17 8 39
12 26 34
11 31 10
37 45 23
49 6 10
31 38 77
27 37 18
36 1 41
3 19 64
21 29 12
43 33 38
6 43 45
43 13 69
36 43 65
38 43 67
38 16 22
24 3 1
40 2 45
34 52 49
12 6 97
11 33 73
46 15 50
14 30 46
22 35 85
10 37 9
18 4 78
15 26 62
22 18 14
2 46 81
10 22 66
27 1 82
18 40 37
28 2 80
30 33 7
46 36 82
22 13 21
52 9 52
29 37 6
25 45 18
22 44 8
14 5 3
43 10 77
47 49 62
3 19 68
11 43 15
26 30 5
19 27 53
16 24 27
25 2 83
18 23 69
35 46 84
25 47 54
3 11 63
23 4 90
44 23 4
53 52 94
7 29 31
27 9 63
2 16 57
51 5 26
9 27 91
19 52 91
22 48 10
35 33 19
25 13 97
8 9 30
33 37 68
19 47 12
19 45 79
49 5 17
21 1 56
24 38 93
8 31 45
52 50 76
46 21 25
49 16 35
18 13 78
50 25 80
45 44 49
20 2 76
34 27 19
40 28 51
15 44 47
9 44 45
29 34 23
3 50 32
34 11 2
24 21 40
40 17 69
30 41 91
47 31 18
5 15 4
49 11 51
10 21 28
44 37 59
19 7 88
42 10 41
11 23 22
51 31 37
23 24 82
22 12 65
31 41 68
6 4 61
37 18 19
7 40 8
28 6 59
30 34 51
8 28 39
21 30 82
24 51 13
41 8 92
28 23 8
43 40 36
22 16 53
